X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1445.0,1445.0,train,3.477732529592578E-4,50.072400977683984,0.5971168628038206
1446.0,1446.0,train,6.05736272315176E-4,87.7906481188929,0.720785303244387
1450.0,1450.0,train,2.7183235064907185E-4,40.51475077419488,0.5367091113150925
1451.0,1451.0,train,3.8567647173073054E-4,55.82133861546038,0.6217339473909523
1453.0,1453.0,train,4.210758141708603E-5,9.243339624861472,0.1521474553269448
1454.0,1454.0,train,3.5214250859591463E-4,50.80906662656532,0.6001167424740892
1456.0,1456.0,train,4.466047198840707E-4,65.33064308842732,0.6555644249172491
1458.0,1458.0,train,3.1006102774293966E-4,45.494323412518256,0.5692237441424846
1459.0,1459.0,train,3.4598826682988784E-5,7.74902516022674,0.12850250208916572
1460.0,1460.0,train,6.207621357865331E-4,89.00102294523639,0.7256899030245845
1461.0,1461.0,train,1.6549035249325533E-5,3.818527141514924,0.06588082602181318
1462.0,1462.0,train,4.563617354001538E-4,67.11388925726557,0.6604278378460889
1463.0,1463.0,train,3.504060145101763E-4,50.52247528409384,0.5989298511996702
1464.0,1464.0,train,3.692056384124566E-4,53.14724186287912,0.611416277904652
1466.0,1466.0,train,1.4727735281811171E-4,24.718417000006973,0.38561866726831034
1467.0,1467.0,train,4.3522262164006064E-4,63.452489139635595,0.649711947807887
1470.0,1470.0,train,5.492580117076176E-4,80.95461086484237,0.7006686435586851
1471.0,1471.0,train,3.433167269265042E-5,7.696625315242659,0.12763691821651282
1472.0,1472.0,train,6.137791804788922E-4,88.50770032603515,0.7234322003954338
1473.0,1473.0,train,4.3711211805048207E-4,64.00601753648968,0.6506972228962478
1474.0,1474.0,train,1.2964863989550117E-5,2.801563976601105,0.052359517796699714
1475.0,1475.0,train,4.110021676178011E-4,59.86210374354527,0.6365714846658245
1476.0,1476.0,train,5.80000459736965E-4,84.95012785442029,0.7119645396039475
1477.0,1477.0,train,3.024553805802351E-4,44.38337951419653,0.5631237355121939
1479.0,1479.0,train,1.2087078646871688E-4,20.93868114742623,0.3399847237135218
1482.0,1482.0,train,5.344284450547892E-4,79.29314635069652,0.6948968412691882
1483.0,1483.0,train,5.007845305568063E-4,74.6485052156347,0.6809392433456679
1484.0,1484.0,train,4.0829869640720484E-5,8.993687993441853,0.148214968307883
1485.0,1485.0,train,5.709958384372438E-4,83.86540736658435,0.7087451866752194
1486.0,1486.0,train,4.2642216419055506E-4,62.08901139173164,0.6450487553117961
1487.0,1487.0,train,3.7629714114403135E-4,54.44293995528169,0.6159267398028285
1488.0,1488.0,train,5.645418946024805E-4,83.16831981152812,0.706393125675632
1489.0,1489.0,train,3.518248911620411E-4,50.75883064838426,0.599900176620394
1490.0,1490.0,train,4.607217915832837E-4,67.95758643327315,0.6625569996061915
1491.0,1491.0,train,5.135667062532275E-4,76.44855158396071,0.6863899426430153
1492.0,1492.0,train,6.920691149862405E-4,94.554345036312,0.7467969211342474
1493.0,1493.0,train,3.1714381701985773E-4,46.27218735303518,0.5747531849845446
1494.0,1494.0,train,8.234513140078869E-4,98.45774297135843,0.7782366854111662
1495.0,1495.0,train,4.331362480094627E-4,62.999974999760646,0.6486175339992777
1496.0,1496.0,train,4.829742442519341E-4,71.67690785931049,0.6730206379402675
1497.0,1497.0,train,6.421361574700496E-5,13.007237827937054,0.2148610585996904
1498.0,1498.0,train,7.677277983660334E-4,97.30778275163283,0.76590853691535
1499.0,1499.0,train,2.1400060721607893E-4,33.67817158570691,0.47698988066129056
1500.0,1500.0,train,5.30505530860897E-4,78.8967012525126,0.6933325875011224
1501.0,1501.0,train,6.415767949964656E-4,90.89065924704174,0.7322061240625962
1502.0,1502.0,train,5.108427268240296E-4,75.94844521741437,0.685244029103091
1503.0,1503.0,train,6.45196418566325E-4,91.28671385020412,0.7333078115375343
1505.0,1505.0,train,3.740680593182855E-4,53.948095465682094,0.6145202853255753
1507.0,1507.0,train,1.117439395892873E-5,2.291434442329461,0.04545727709522457
1508.0,1508.0,train,3.946624240516377E-4,57.38895439229312,0.6271352299424648
1509.0,1509.0,train,9.097505504949721E-4,99.52522008654071,0.7949598917450221
1510.0,1510.0,train,7.994941826849169E-4,98.09808363798557,0.7730992724839623
1511.0,1511.0,train,5.298586969205173E-4,78.76114076378144,0.6930731221213002
1512.0,1512.0,train,3.017093742880745E-4,44.30800567208393,0.562516094484914
1513.0,1513.0,train,5.741418205032229E-4,84.33631097939784,0.7098780928547314
1515.0,1515.0,train,2.0302608299889276E-4,32.207029885168104,0.46387557026918586
1516.0,1516.0,train,5.715352255756674E-4,83.99277355512875,0.7089400545324535
1517.0,1517.0,train,4.6068065085986E-4,67.94141517104791,0.6625370339983999
1519.0,1519.0,train,5.998030512107681E-4,86.8788591602501,0.7187999938349232
1520.0,1520.0,train,3.2276430470350664E-4,47.10082512982411,0.5790410283084084
1521.0,1521.0,train,5.764264556570183E-4,84.54035965776009,0.7106953089706756
1524.0,1524.0,train,1.817547962806762E-5,4.248899505343786,0.07189014084207011
1525.0,1525.0,train,5.881836555110111E-5,12.114358518253972,0.2004265995305352
1526.0,1526.0,train,5.01668084438326E-4,74.7794550863767,0.6813221054986134
1528.0,1528.0,train,5.582076354805742E-4,82.30052150218415,0.7040474487187143
1529.0,1529.0,train,6.737344995252016E-4,93.4025890983388,0.7416863166903562
1531.0,1531.0,train,5.834017172729193E-4,85.14840935415539,0.7131621237582586
1535.0,1535.0,train,6.357217243338744E-4,90.18292583957042,0.7304046448484621
1536.0,1536.0,train,3.0091387232399763E-4,44.154364222844414,0.5618662729631564
1537.0,1537.0,train,4.986013951024021E-4,74.32078291544263,0.6799892891699139
1539.0,1539.0,train,4.307289120654855E-4,62.58855824697924,0.6473462300803354
1540.0,1540.0,train,4.256931371041425E-4,62.01599301316766,0.6446568832125879
1541.0,1541.0,train,1.405099869191962E-4,23.83510752545721,0.3745360061918441
1542.0,1542.0,train,7.070987900336647E-4,95.48080157248684,0.7508378820977452
